epochs,acc,loss,val_acc,val_loss
0,0.5996639865594624,0.7128426451850707,0.7235421166449735,0.5639286691160662
1,0.6888275531378883,0.5888548441098029,0.7482601392031688,0.5179272587418928
2,0.7272890915493568,0.5464694150410021,0.763378929714233,0.486396475750278
3,0.7455298211570835,0.5177128875325683,0.7709383249769172,0.5182551592409625
4,0.7677307091997577,0.4863398199706293,0.7718982481687567,0.47958464149894375
5,0.7820712828227027,0.464422022578926,0.7820974321625117,0.4675234529485455
6,0.7943717748924534,0.4516671908534075,0.8023758099495092,0.4426063402668303
7,0.8034321372926443,0.43241881929739434,0.8212143028700755,0.3958799363770358
8,0.8105124204682085,0.4246488327805798,0.8240940724312902,0.38806573431898655
9,0.8136925477305195,0.4168938971232441,0.8282937365153838,0.39336549727957343
10,0.8261730468861127,0.39713776057241174,0.8328533717445655,0.37505024213112315
11,0.8272530901307578,0.3902729490067111,0.8082553395299222,0.4304706766496953
12,0.8332533301045939,0.38353520461194845,0.8268538516918646,0.4226861173854276
13,0.8401536061585515,0.37261637086114663,0.8423326133909287,0.3530051623327371
14,0.8421336853688725,0.3636309795379353,0.8386129109242108,0.35961604854286444
15,0.8451938077666158,0.3583903397301244,0.8471322294216462,0.35272137946953214
16,0.8487339493365158,0.3528003968297541,0.8107751379889608,0.44588193454014646
17,0.8493939757375718,0.35036303061662455,0.8366930645548356,0.364917434489152
18,0.8507740309898498,0.34735876345039346,0.8424526037916966,0.359314539958125
19,0.8530541221720395,0.3460342441338473,0.8356131509479242,0.36835203389341037
20,0.8555742229474602,0.34706169639359885,0.8492920566354691,0.4106093373016428
21,0.8593543741892727,0.33393056229155677,0.847732181425486,0.3871504357511516
22,0.8648145925479391,0.324306982609743,0.8387329013821946,0.38378030179729555
23,0.8688947557544674,0.3218556400962942,0.8665706743603563,0.3653219771172064
24,0.8645145805975291,0.31954078101802813,0.863450923883174,0.32084582836501513
25,0.8696147845985365,0.31626201815591143,0.8648908086923892,0.33152017554476987
26,0.8700948037563875,0.31426376816062784,0.8627309815357822,0.3280641998830161
27,0.8708148325718452,0.31177897058041976,0.8550515958437223,0.33793752524444803
28,0.8720748829667084,0.30672188863367444,0.8677705783108198,0.35825380758398695
29,0.8742949717631078,0.3054313703657956,0.8530117590735792,0.36514460111453945
30,0.877955118211881,0.30355044469088904,0.8692104631772509,0.32346713689911527
31,0.877175087010633,0.2949947895343373,0.8603311735204234,0.3743640191554451
32,0.8795151806072243,0.29881774633586383,0.8735301176048967,0.32469151858691836
33,0.8796951878146652,0.2984513210839732,0.8665706743603563,0.34817361063899427
34,0.8810752430240261,0.2877708332572652,0.8606911447227273,0.3458839955949543
35,0.8822752910187933,0.29158929719060006,0.8765298776240952,0.3118196001349235
36,0.8821552862257541,0.2943618564628316,0.8778497720325426,0.29996491628197247
37,0.8846753869725635,0.28608555022077686,0.8388528917400506,0.4882806573650492
38,0.8808952358165852,0.29419438328317243,0.8538516918789548,0.3505365464408134
39,0.8901356053884527,0.2806077371492801,0.8722102231964494,0.30878518658031057
40,0.8876155045772678,0.2846904095268101,0.8462922966305747,0.3707779787171508
41,0.8868354733760196,0.28113209718804133,0.8752099831727359,0.35047682528304686
